"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PQDEDK4D","conferencePaper","2019","Krüger, Jacob; Çalıklı, Gül; Berger, Thorsten; Leich, Thomas; Saake, Gunter","Effects of explicit feature traceability on program comprehension","Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","978-1-4503-5572-8","","10.1145/3338906.3338968","https://dl.acm.org/doi/10.1145/3338906.3338968","Developers spend a substantial amount of their time with program comprehension. To improve their comprehension and refresh their memory, developers need to communicate with other developers, read the documentation, and analyze the source code. Many studies show that developers focus primarily on the source code and that small improvements can have a strong impact. As such, it is crucial to bring the code itself into a more comprehensible form. A particular technique for this purpose are explicit feature traces to easily identify a program’s functionalities. To improve our empirical understanding about the effects of feature traces, we report an online experiment with 49 professional software developers. We studied the impact of explicit feature traces, namely annotations and decomposition, on program comprehension and compared them to the same code without traces. Besides this experiment, we also asked our participants about their opinions in order to combine quantitative and qualitative data. Our results indicate that, as opposed to purely object-oriented code: (1) annotations can have positive effects on program comprehension; (2) decomposition can have a negative impact on bug localization; and (3) our participants perceive both techniques as beneficial. Moreover, none of the three code versions yields significant improvements on task completion time. Overall, our results indicate that lightweight traceability, such as using annotations, provides immediate benefits to developers during software development and maintenance without extensive training or tooling; and can improve current industrial practices that rely on heavyweight traceability tools (e.g., DOORS) and retroactive fulfillment of standards (e.g., ISO-26262, DO-178B).","2019-08-12","2026-03-18 17:13:38","2026-03-18 17:37:10","2026-03-18","338–349","","","","","","","ESEC/FSE 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\LWWPT3J6\Krüger et al. - 2019 - Effects of explicit feature traceability on program comprehension.pdf","","Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G9QJXGZU","conferencePaper","2017","Azadmanesh, Mohammad Reza; Hauswirth, Matthias; Van De Vanter, Michael L.","Language-independent information flow tracking engine for program comprehension tools","Proceedings of the 25th International Conference on Program Comprehension","978-1-5386-0535-6","","10.1109/ICPC.2017.5","https://dl.acm.org/doi/10.1109/ICPC.2017.5","Program comprehension tools are often developed for a specific programming language. Developing such a tool from scratch requires significant effort. In this paper, we report on our experience developing a language-independent framework that enables the creation of program comprehension tools, specifically tools gathering insight from deep dynamic analysis, with little effort. Our framework is language independent, because it is built on top of Truffle, an open-source platform, developed in Oracle Labs, for implementing dynamic languages in the form of AST interpreters. Our framework supports the creation of a diverse variety of program comprehension techniques, such as query, program slicing, and back-in-time debugging, because it is centered around a powerful information-flow tracking engine.Tools developed with our framework get access to the information-flow through a program execution. While it is possible to develop similarly powerful tools without our framework, for example by tracking information-flow through bytecode instrumentation, our approach leads to information that is closer to source code constructs, thus more comprehensible by the user.To demonstrate the effectiveness of our framework, we applied it to two of Truffle-based languages namely Simple Language and TruffleRuby, and we distill our experience into guidelines for developers of other Truffle-based languages who want to develop program comprehension tools for their language.","2017-05-20","2026-03-18 17:13:38","2026-03-18 17:42:13","2026-03-18","346–355","","","","","","","ICPC '17","","","","IEEE Press","Buenos Aires, Argentina","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\9QB8YKFB\Azadmanesh et al. - 2017 - Language-independent information flow tracking engine for program comprehension tools.pdf","","Maybe Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXE5GTJF","conferencePaper","2018","DeLozier, Gregory S.; Decker, Michael J.; Newman, Christian D.; Maletic, Jonathan I.","Leveraging the agile development process for selecting invoking/excluding tests to support feature location","Proceedings of the 26th Conference on Program Comprehension","978-1-4503-5714-2","","10.1145/3196321.3196354","https://dl.acm.org/doi/10.1145/3196321.3196354","A practical approach to feature location using agile unit tests is presented. The approach employs a modified software reconnaissance method for feature location, but in the context of an agile development methodology. Whereas a major drawback to software reconnaissance is the identification or development of invoking and excluding tests, the approach allows for the automatic identification of invoking and excluding tests by partially ordering existing agile unit tests via iteration information from the agile development process. The approach is validated in a comparison study with industry professionals, where the approach is shown to improve feature location speed, accuracy, and developer confidence over purely manual feature location.","2018-05-28","2026-03-18 17:13:38","2026-03-18 17:42:52","2026-03-18","370–379","","","","","","","ICPC '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\UJNFAXGX\DeLozier et al. - 2018 - Leveraging the agile development process for selecting invokingexcluding tests to support feature l.pdf","","Maybe Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GWSCNFHE","conferencePaper","2021","Michelon, Gabriela K.; Linsbauer, Lukas; Assunção, Wesley K.G.; Fischer, Stefan; Egyed, Alexander","A Hybrid Feature Location Technique for Re-engineeringSingle Systems into Software Product Lines","Proceedings of the 15th International Working Conference on Variability Modelling of Software-Intensive Systems","978-1-4503-8824-5","","10.1145/3442391.3442403","https://dl.acm.org/doi/10.1145/3442391.3442403","Software product lines (SPLs) are known for improving productivity and reducing time-to-market through the systematic reuse of assets. SPLs are adopted mainly by re-engineering existing system variants. Feature location techniques (FLTs) support the re-engineering process by mapping the variants’ features to their implementation. However, such FLTs do not perform well when applied to single systems. In this way, there is a lack of FLTs to aid the re-engineering process of a single system into an SPL. In this work, we present a hybrid technique that consists of two complementary types of analysis: i) a dynamic analysis by runtime monitoring traces of scenarios in which features of the system are exercised individually, and ii) a static analysis for refining overlapping traces. We evaluate our technique on three subject systems by computing the common metrics used in FL research. We thus computed Precision, Recall, and F-Score at the line- and method-level of source code. In addition to that, one of the systems has a ground truth available, which we also used for comparing results. Results show that our FLT reached an average of 68-78% precision and 72-81% recall on two systems at the line-level, and 67-65% precision and 68-48% recall at the method-level. In these systems, most of the implementation can be covered by the exercise of the features. For the largest system, our technique reached a precision of up to 99% at the line-level, 94% at the method-level, and 44% when comparing to traces. However, due to its size, it was difficult to reach high code coverage during execution, and thus the recall obtained was on average of 28% at the line-level, 25% at the method-level, and 30% when comparing to traces. The main contribution of this work is a hybrid FLT, its publicly available implementation, and a replication package for comparisons and future studies.","2021-02-09","2026-03-18 17:13:38","2026-03-18 17:21:22","2026-03-18","1–9","","","","","","","VaMoS '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\GKCVHNF6\Michelon et al. - 2021 - A Hybrid Feature Location Technique for Re-engineeringSingle Systems into Software Product Lines.pdf","","Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUPY4AMC","journalArticle","2018","Razzaq, Abdul; Wasala, Asanka; Exton, Chris; Buckley, Jim","The State of Empirical Evaluation in Static Feature Location","ACM Trans. Softw. Eng. Methodol.","","1049-331X","10.1145/3280988","https://dl.acm.org/doi/10.1145/3280988","Feature location (FL) is the task of finding the source code that implements a specific, user-observable functionality in a software system. It plays a key role in many software maintenance tasks and a wide variety of Feature Location Techniques (FLTs), which rely on source code structure or textual analysis, have been proposed by researchers. As FLTs evolve and more novel FLTs are introduced, it is important to perform comparison studies to investigate “Which are the best FLTs?” However, an initial reading of the literature suggests that performing such comparisons would be an arduous process, based on the large number of techniques to be compared, the heterogeneous nature of the empirical designs, and the lack of transparency in the literature. This article presents a systematic review of 170 FLT articles, published between the years 2000 and 2015. Results of the systematic review indicate that 95% of the articles studied are directed towards novelty, in that they propose a novel FLT. Sixty-nine percent of these novel FLTs are evaluated through standard empirical methods but, of those, only 9% use baseline technique(s) in their evaluations to allow cross comparison with other techniques. The heterogeneity of empirical evaluation is also clearly apparent: altogether, over 60 different FLT evaluation metrics are used across the 170 articles, 272 subject systems have been used, and 235 different benchmarks employed. The review also identifies numerous user input formats as contributing to the heterogeneity. Analysis of the existing research also suggests that only 27% of the FLTs presented might be reproduced from the published material. These findings suggest that comparison across the existing body of FLT evaluations is very difficult. We conclude by providing guidelines for empirical evaluation of FLTs that may ultimately help to standardise empirical research in the field, cognisant of FLTs with different goals, leveraging common practices in existing empirical evaluations and allied with rationalisations. This is seen as a step towards standardising evaluation in the field, thus facilitating comparison across FLTs.","2018-12-05","2026-03-18 17:13:38","2026-03-18 17:50:38","2026-03-18 17:11:51","2:1–2:58","","1","28","","","","","","","","","","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\EF44ILMW\Razzaq et al. - 2018 - The State of Empirical Evaluation in Static Feature Location.pdf","","Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45JP95DN","journalArticle","2024","Yan, Yanfu; Cooper, Nathan; Moran, Kevin; Bavota, Gabriele; Poshyvanyk, Denys; Rich, Steve","Enhancing Code Understanding for Impact Analysis by Combining Transformers and Program Dependence Graphs","Proc. ACM Softw. Eng.","","","10.1145/3643770","https://dl.acm.org/doi/10.1145/3643770","Impact analysis (IA) is a critical software maintenance task that identifies the effects of a given set of code changes on a larger software project with the intention of avoiding potential adverse effects. IA is a cognitively challenging task that involves reasoning about the abstract relationships between various code constructs. Given its difficulty, researchers have worked to automate IA with approaches that primarily use coupling metrics as a measure of the “connectedness” of different parts of a software project. Many of these coupling metrics rely on static, dynamic, or evolutionary information and are based on heuristics that tend to be brittle, require expensive execution analysis, or large histories of co-changes to accurately estimate impact sets.In this paper, we introduce a novel IA approach, called Athena, that combines a software system’s dependence graph information with a conceptual coupling approach that uses advances in deep representation learning for code without the need for change histories and execution information. Previous IA benchmarks are small, containing less than ten software projects, and suffer from tangled commits, making it difficult to measure accurate results. Therefore, we constructed a large-scale IA benchmark, from 25 open-source software projects, that utilizes fine-grained commit information from bug fixes. On this new benchmark, our best performing approach configuration achieves an mRR, mAP, and HIT@10 score of 60.32%, 35.19%, and 81.48%, respectively. Through various ablations and qualitative analyses, we show that Athena’s novel combination of program dependence graphs and conceptual coupling information leads it to outperform a simpler baseline by 10.34%, 9.55%, and 11.68% with statistical significance.","2024-07-12","2026-03-18 17:13:38","2026-03-18 17:37:32","2026-03-18 17:12:10","44:972–44:995","","FSE","1","","","","","","","","","","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\ZU9HCELP\Yan et al. - 2024 - Enhancing Code Understanding for Impact Analysis by Combining Transformers and Program Dependence Gr.pdf","","Maybe Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9M4TBTK4","conferencePaper","2018","Alimadadi, Saba; Mesbah, Ali; Pattabiraman, Karthik","Inferring hierarchical motifs from execution traces","Proceedings of the 40th International Conference on Software Engineering","978-1-4503-5638-1","","10.1145/3180155.3180216","https://dl.acm.org/doi/10.1145/3180155.3180216","Program comprehension is a necessary step for performing many software engineering tasks. Dynamic analysis is effective in producing execution traces that assist comprehension. Traces are rich sources of information regarding the behaviour of a program. However, it is challenging to gain insight from traces due to their overwhelming amount of data and complexity. We propose a generic technique for facilitating comprehension by inferring recurring execution motifs. Inspired by bioinformatics, motifs are patterns in traces that are flexible to small changes in execution, and are captured in a hierarchical model. The hierarchical nature of the model provides an overview of the behaviour at a high-level, while preserving the execution details and intermediate levels in a structured manner. We design a visualization that allows developers to observe and interact with the model. We implement our approach in an open-source tool, called Sabalan, and evaluate it through a user experiment. The results show that using Sabalan improves developers' accuracy in performing comprehension tasks by 54%.","2018-05-27","2026-03-18 17:13:38","2026-03-18 17:41:11","2026-03-18","776–787","","","","","","","ICSE '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\2J8PUUPM\Alimadadi et al. - 2018 - Inferring hierarchical motifs from execution traces.pdf","","Maybe Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYR6RENL","conferencePaper","2018","Porkoláb, Zoltán; Brunner, Tibor","The codecompass comprehension framework","Proceedings of the 26th Conference on Program Comprehension","978-1-4503-5714-2","","10.1145/3196321.3196352","https://dl.acm.org/doi/10.1145/3196321.3196352","CodeCompass is an open source LLVM/Clang based tool developed by Ericsson Ltd. and the Eötvös Loránd University, Budapest to help understanding large legacy software systems. Based on the LLVM/Clang compiler infrastructure, CodeCompass gives exact information on complex C/C++ language elements like overloading, inheritance, the usage of variables and types, possible uses of function pointers and the virtual functions - features that various existing tools support only partially. Steensgaard's and Andersen's pointer analysis algorithm are used to compute and visualize the use of pointers/references. The wide range of interactive visualizations extends further than the usual class and function call diagrams; architectural, component and interface diagrams are a few of the implemented graphs. To make comprehension more extensive, CodeCompass is not restricted to the source code. It also utilizes build information to explore the system architecture as well as version control information e.g. git commit history and blame view. Clang based static analysis results are also integrated to CodeCompass. Although the tool focuses mainly on C and C++, it also supports Java and Python languages.In this demo we will simulate a typical bug-fixing work flow in a C++ system. First, we show, how to use the combined text and definition based search for a fast feature location. Here we also demonstrate our log search, which can be used to locate the code source of an emitted message. When we have an approximate location of the issue, we can start a detailed investigation understanding the class relationships, function call chains (including virtual calls, and calls via function pointers), and the read/write events on individual variables. We also visualize the pointer relationships. To make the comprehension complete, we check the version control information who committed the code, when and why.This Tool demo submission is complementing our Industry track submission with the similar title. A live demo is also available at the homepage of the tool https://github.com/ericsson/codecompass.","2018-05-28","2026-03-18 17:13:38","2026-03-18 17:50:23","2026-03-18","393–396","","","","","","","ICPC '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\5GLKWYKE\Porkoláb and Brunner - 2018 - The codecompass comprehension framework.pdf","","Maybe Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2QA56S4","conferencePaper","2018","Reddivari, Sandeep; Bhowmik, Tanmay","A Qualitative Investigation of Landmarks in Software Code Navigation","Proceedings of the 2nd International Conference on Compute and Data Analysis","978-1-4503-6359-4","","10.1145/3193077.3193091","https://dl.acm.org/doi/10.1145/3193077.3193091","A large body of research is available on software clustering and many tools have been developed to assist software programmers to navigate and easily comprehend large software systems. However, minimal attention has been paid to the area of visual clustering to support code navigation. In this paper, we leverage clustering-based visualization to explore static-dependency-based landmarks present in the code base. Landmarks are important legibility features that developers use as reference points. Our qualitative investigation of a java project reveals developers' reliance on the landmarks during code navigation and shows the promise of using static dependencies to uncover the landmarks in the software space.","2018-03-23","2026-03-18 17:13:38","2026-03-18 17:23:11","2026-03-18","80–84","","","","","","","ICCDA '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\5YCH8NBL\Reddivari and Bhowmik - 2018 - A Qualitative Investigation of Landmarks in Software Code Navigation.pdf","","Maybe Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFMS28BF","conferencePaper","2019","Kuang, Hongyu; Gao, Hui; Hu, Hao; Ma, Xiaoxing; Lü, Jian; Mäder, Patrick; Egyed, Alexander","Using frugal user feedback with closeness analysis on code to improve IR-based traceability recovery","Proceedings of the 27th International Conference on Program Comprehension","","","10.1109/ICPC.2019.00055","https://dl.acm.org/doi/10.1109/ICPC.2019.00055","Traceability recovery allows developers to extract and comprehend the trace links among software artifacts (e.g., requirements and code). These trace links can provide important support to software maintenance and evolution tasks. Information Retrieval (IR) is now widely accepted as the key technique of semiautomatic tools to recover candidate trace links based on textual similarities among artifacts. However, the vocabulary mismatch problem between different artifacts hinders the performance of these IR-based approaches. Thus, a growing body of enhancing strategies were proposed based on user feedback. They allow to adjust the textual similarities of candidate links after users accept or reject part of these links. Recently, several approaches successfully used this strategy to improve the performance of IR-based traceability recovery. However, these approaches require a large amount of user feedback, which is infeasible in practice. In this paper, we propose to improve IR-based traceability recovery by introducing only a small amount of user feedback into the closeness analysis on call and data dependencies in code. Specifically, our approach iteratively asks users to verify a chosen candidate link based on the quantified functional similarity for each code dependency (called closeness) and the generated IR values. The verified link is then used as the input to re-rank the unverified candidate links. An empirical evaluation based on five real-world systems shows that our approach can outperform four baseline approaches by using only a small amount of user feedback.","2019-05-25","2026-03-18 17:13:38","2026-03-18 17:51:49","2026-03-18","369–379","","","","","","","ICPC '19","","","","IEEE Press","Montreal, Quebec, Canada","","","","","","ACM Digital Library","","","","C:\Users\corey\Zotero\storage\3Q3M8EB9\Kuang et al. - 2019 - Using frugal user feedback with closeness analysis on code to improve IR-based traceability recovery.pdf","","Maybe Relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
