"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9XNQC5AK","conferencePaper","2018","DeLozier, Gregory S.; Decker, Michael; Newman, Christian; Maletic, Jonathan","Leveraging the Agile Development Process for Selecting Invoking/Excluding Tests to Support Feature Location","2018 IEEE/ACM 26th International Conference on Program Comprehension (ICPC)","","2643-7171","","https://ieeexplore.ieee.org/document/8973091/","A practical approach to feature location using agile unit tests is presented. The approach employs a modified software reconnaissance method for feature location, but in the context of an agile development methodology. Whereas a major drawback to software reconnaissance is the identification or development of invoking and excluding tests, the approach allows for the automatic identification of invoking and excluding tests by partially ordering existing agile unit tests via iteration information from the agile development process. The approach is validated in a comparison study with industry professionals, where the approach is shown to improve feature location speed, accuracy, and developer confidence over purely manual feature location.","2018-05","2026-03-18 16:25:45","2026-04-08 14:59:52","2026-03-18 16:24:42","370-379","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2643-7171","","C:\Users\corey\Zotero\storage\L6ZSTSVM\DeLozier et al. - 2018 - Leveraging the Agile Development Process for Selecting InvokingExcluding Tests to Support Feature L.pdf; C:\Users\corey\Zotero\storage\UJNFAXGX\DeLozier et al. - 2018 - Leveraging the agile development process for selecting invokingexcluding tests to support feature l.pdf","","Maybe Relevant","Accuracy; excluding tests; feature location; Industries; invoking tests; Manuals; Reconnaissance; Software; Software reconnaissance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 IEEE/ACM 26th International Conference on Program Comprehension (ICPC)","","","","","","","","","","","","","","",""
"3TLYE27C","conferencePaper","2021","Buzaid, Faisal; Hammad, Mustafa","Reviewing Dynamic Feature Location Techniques: Basic Elements and Challenges","2021 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)","","","10.1109/3ICT53449.2021.9581921","https://ieeexplore.ieee.org/document/9581921/","Dynamic Feature Location Techniques (DFLTs) seek to pertain the software functionalities artifacts which are known as software features, to the relevant source code based on execution trace. These techniques enhance developers to comprehend a software system to perform various activities such as software maintenance, code refactoring, and others. For instance, comprehend a software application at runtime support the developers to map source code to the relevant software feature based on the feature software execution trace analysis. This work introduces a systematic literature review for several works in DFLTs top. An illustration is presented to show their common structure approach and idealize the used solution on an industrial software application. Moreover, we review their characterization, advantages, disadvantages and administer a possible framework that would be utilized by researchers and developers to boost their decision to opt for the correct DFLTs to solve a problem. A basic comparison between DFLTs is provided by classifying the located techniques into corpus-based analysis, execution trace analysis, and dependencies analysis. The three points of comparison results and the taxonomy diagram lead to examine possible directions for standardizing DFLTs architecture to improve the accuracy and increase the ease of mapping software functionalities to the related software artifact based on the execution trace. The review paper also discusses unsolved issues and defines future directions in the field of Dynamic Feature Location (DFL).","2021-09","2026-03-18 16:25:45","2026-04-08 15:21:25","2026-03-18 16:24:44","242-249","","","","","","Reviewing Dynamic Feature Location Techniques","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\corey\Zotero\storage\GNV2ANKE\Buzaid and Hammad - 2021 - Reviewing Dynamic Feature Location Techniques Basic Elements and Challenges.pdf","","Relevant","Bibliographies; Codes; Dynamic Analysis; Execution Trace; Feature Location; Program Comprehension; Runtime; Software Engineering; Software maintenance; Systematics; Taxonomy; Technological innovation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)","","","","","","","","","","","","","","",""
"X3T3S5NG","conferencePaper","2022","Buzaid, Faisal; Albalooshi, Fawzi; Elmedany, Wael","The Use of UML Diagrams to Enhance Dynamic Feature Location Techniques","2022 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)","","2770-7466","10.1109/3ICT56508.2022.9990768","https://ieeexplore.ieee.org/document/9990768/","Unified Modeling Language (UML) is an efficient technique that can be implemented to model and visualize an object-oriented system that suffers from lack or poor documentation. UML diagrams enhance the developers’ understanding the software system to apply software maintenance, software evaluation, or Dynamic Feature Location Techniques (DFLTs). The construction of UML diagrams is based on dynamic or static analysis. Dynamic analysis refers to collecting data when the system executes to generate execution traces, while static analysis refers to collecting the data from the source code. This paper implements UML diagrams in both directions, dynamic and static analysis, to enhance the software programmers applying DFLTs. A use case scenario diagram is used to specify the inputs of the DFLTs based on static analysis. In contrast, class diagrams and object diagrams are used to locate the required software artifacts of source code to construct the exercised feature based on dynamic analysis. Each created use case scenario generates an execution trace. The collected execution trace is analyzed to build class and object diagrams. The implemented case study illustrates the process of the proposed approach and shows that using UML diagrams increases the accuracy of applying DFLTs.","2022-11","2026-03-18 16:25:45","2026-04-08 15:23:48","2026-03-18 16:24:46","285-292","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2770-7466","","C:\Users\corey\Zotero\storage\TP2CKBCW\Buzaid et al. - 2022 - The Use of UML Diagrams to Enhance Dynamic Feature Location Techniques.pdf","","Relevant","Dynamic Analysis; Execution Trace; Feature Location; Software maintenance; Technological innovation; Documentation; Object oriented modeling; Software Comprehension; Source coding; Static analysis; Unified modeling language; Unified Modelling Language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)","","","","","","","","","","","","","","",""
"AG5C59H3","conferencePaper","2024","Song, Shenning; Zhang, Mengxi; Li, Shaoquan; Liu, Huaxiao","Learning Heterogeneous Abstract Code Graph Representations for Program Comprehension","2024 31st Asia-Pacific Software Engineering Conference (APSEC)","","2640-0715","10.1109/APSEC65559.2024.00035","https://ieeexplore.ieee.org/document/10967336/","Program comprehension is a fundamental activity in the field of software engineering. However, efficiently and accurately understanding source code poses significant chal-lenges, as source code with similar semantics can differ in syntax. Recent state-of-the-art research has demonstrated that combining deep learning techniques with structural information from source code, specifically AST-based static graphs, can en-hance the extraction of essential features from source programs. Control flow and data flow information in source programs can express richer semantics while existing studies often overlook their heterogeneous integration when constructing program static graphs. This oversight results in the loss of information about the type of static graph edges, potentially impeding program comprehension. In this paper, We model the source program by using a heterogeneous static graph and then use Relational Graph Con-volutional Network (R-GCN) for feature extraction. Specifically, we present an innovative method for constructing a program static graph, termed the Heterogeneous Abstract Code Graph (HACG), and then we employ R-GCN to generate representations based on HACG for code classification and code clone detection. We evaluate our method using two extensive source code datasets: CodeNet, introduced by IBM, and BigCloneBench. The experimental results demonstrate the superiority of our approach over existing methods, achieving a code classification accuracy of 97.38 % and an average F1-score of 98.34 % in code clone detection.","2024-12","2026-03-18 16:25:45","2026-04-08 15:19:01","2026-03-18 16:24:47","241-250","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2640-0715","","C:\Users\corey\Zotero\storage\UPMLFFBN\Song et al. - 2024 - Learning Heterogeneous Abstract Code Graph Representations for Program Comprehension.pdf","","Relevant","Codes; Program Comprehension; Source coding; abstract syntax tree; Cloning; Feature extraction; graph neural network; Multichip modules; Semantics; Software engineering; Syntactics; Tree graphs; Vectors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 31st Asia-Pacific Software Engineering Conference (APSEC)","","","","","","","","","","","","","","",""
"3MNW895R","conferencePaper","2016","Khatiwada, Saket; Kelly, Michael; Mahmoud, Anas","STAC: A tool for Static Textual Analysis of Code","2016 IEEE 24th International Conference on Program Comprehension (ICPC)","","","10.1109/ICPC.2016.7503746","https://ieeexplore.ieee.org/document/7503746/","Static textual analysis techniques have been recently applied to process and synthesize source code. The underlying tenet is that important information is embedded in code identifiers and internal code comments. Such information can be analyzed to provide automatic aid for several software engineering activities. To facilitate this line of work, we present STAC, a tool for supporting Static Textual Analysis of Code. STAC is designed as a light-weight stand-alone tool that provides a practical one-stop solution for code indexing. Code indexing is the process of extracting important textual information from source code. Accurate indexing has been found to significantly influence the performance of code retrieval and analysis methods. STAC provides features for extracting and processing textual patterns found in Java, C++, and C# code artifacts. These features include identifier splitting, stemming, lemmatization, and spell-checking. STAC is also provided as an API to help researchers to integrate basic code indexing features into their code.","2016-05","2026-03-18 16:25:45","2026-04-08 15:23:11","2026-03-18 16:25:19","1-3","","","","","","STAC","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\corey\Zotero\storage\AKCXNE4W\Khatiwada et al. - 2016 - STAC A tool for Static Textual Analysis of Code.pdf","","Relevant","Feature extraction; Java; Natural languages; Data mining; Dictionaries; Ice; Indexing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 IEEE 24th International Conference on Program Comprehension (ICPC)","","","","","","","","","","","","","","",""
"U9INIPEW","conferencePaper","2017","Nakano, Maaki; Noda, Kunihiro; Hayashi, Shinpei; Kobayashi, Takashi","Mediating Turf Battles! Prioritizing Shared Modules in Locating Multiple Features","2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)","","0730-3157","10.1109/COMPSAC.2017.167","https://ieeexplore.ieee.org/document/8029629/","Dynamic feature location techniques (DFLTs), which use execution profiles of scenarios that trigger a feature, are a promising approach to locating features in the source code. A sufficient set of scenarios is key to obtaining highly accurate results, however, its preparation is laborious and difficult in practice. In most cases, a scenario exercises not only the desired feature but also other features. We focus on the relationship between a module and multiple features that can be calculated with no extra scenarios, to improve the accuracy of locating the desired feature in the source code. In this paper, we propose a DFLT using the odds ratios of the multiple relationships between modules and features. We use the similarity coefficient, which is used in fault localization techniques, as a relationship. Our DFLT better orders shared modules compared with an existing DFLT. To reduce developer costs in our DFLT, we also propose a filtering technique that uses formal concept analysis. We evaluate our DFLT on the features of an open source software project with respect to developer costs and show that our DFLT outperforms the existing approach, the average cost of our DFLT is almost half that of the state-of-the-art DFLT.","2017-07","2026-03-18 16:25:45","2026-04-08 15:20:16","2026-03-18 16:25:36","363-368","","","1","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 0730-3157","","C:\Users\corey\Zotero\storage\2IASNK7J\Nakano et al. - 2017 - Mediating Turf Battles! Prioritizing Shared Modules in Locating Multiple Features.pdf","","Relevant","Dynamic Analysis; Feature Location; Program Comprehension; Tools; Open source software; Conferences; Electronic mail; Fault Localization; Formal concept analysis; Formal Concept Analysis; Lattices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)","","","","","","","","","","","","","","",""
"92BAWBBK","conferencePaper","2018","Porkoláb, Zoltán; Brunner, Tibor","The CodeCompass Comprehension Framework","2018 IEEE/ACM 26th International Conference on Program Comprehension (ICPC)","","2643-7171","","https://ieeexplore.ieee.org/document/8973042/","CodeCompass is an open source LLVM/Clang based tool developed by Ericsson Ltd. and the Eötvös Loránd University, Budapest to help understanding large legacy software systems. Based on the LLVM/Clang compiler infrastructure, CodeCompass gives exact information on complex C/C++ language elements like overloading, inheritance, the usage of variables and types, possible uses of function pointers and the virtual functions – features that various existing tools support only partially. Steensgaard's and Andersen's pointer analysis algorithm are used to compute and visualize the use of pointers/references. The wide range of interactive visualizations extends further than the usual class and function call diagrams; architectural, component and interface diagrams are a few of the implemented graphs. To make comprehension more extensive, CodeCompass is not restricted to the source code. It also utilizes build information to explore the system architecture as well as version control information e.g. git commit history and blame view. Clang based static analysis results are also integrated to CodeCompass. Although the tool focuses mainly on C and C++, it also supports Java and Python languages. In this demo we will simulate a typical bug-fixing work flow in a C++ system. First, we show, how to use the combined text and definition based search for a fast feature location. Here we also demonstrate our log search, which can be used to locate the code source of an emitted message. When we have an approximate location of the issue, we can start a detailed investigation understanding the class relationships, function call chains (including virtual calls, and calls via function pointers), and the read/write events on individual variables. We also visualize the pointer relationships. To make the comprehension complete, we check the version control information who committed the code, when and why. This Tool demo submission is complementing our Industry track submission with the similar title. A live demo is also available at the homepage of the tool https://github.com/ericsson/codecompass.","2018-05","2026-03-18 16:25:45","2026-04-08 15:00:53","2026-03-18 16:25:43","393-3933","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2643-7171","","C:\Users\corey\Zotero\storage\JVGRKI8K\Porkoláb and Brunner - 2018 - The CodeCompass Comprehension Framework.pdf; C:\Users\corey\Zotero\storage\5GLKWYKE\Porkoláb and Brunner - 2018 - The codecompass comprehension framework.pdf","","Not Relevant; Maybe Relevant","Codes; Source coding; Static analysis; Java; Software systems; Visualization; C/C++ programming language; C++ languages; code comprehension; Python; Software algorithms; software visualization; Systems architecture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 IEEE/ACM 26th International Conference on Program Comprehension (ICPC)","","","","","","","","","","","","","","",""
"TNF624L2","conferencePaper","2023","Yang, Kang; Mao, Xinjun; Wang, Shangwen; Qin, Yihao; Zhang, Tanghaoran; Lu, Yao; Al-Sabahi, Kamal","An Extensive Study of the Structure Features in Transformer-based Code Semantic Summarization","2023 IEEE/ACM 31st International Conference on Program Comprehension (ICPC)","","2643-7171","10.1109/ICPC58990.2023.00024","https://ieeexplore.ieee.org/document/10174079/","Transformers are now widely utilized in code intelligence tasks. To better fit highly structured source code, various structure information is passed into Transformer, such as positional encoding and abstract syntax tree (AST) based structures. However, it is still not clear how these structural features affect code intelligence tasks, such as code summarization. Addressing this problem is of vital importance for designing Transformer-based code models. Existing works are keen to introduce various structural information into Transformers while lacking persuasive analysis to reveal their contributions and interaction effects. In this paper, we conduct an empirical study of frequently-used code structure features for code representation, including two types of position encoding features and AST-based structure features. We propose a couple of probing tasks to detect how these structure features perform in Transformer and conduct comprehensive ablation studies to investigate how these structural features affect code semantic summarization tasks. To further validate the effectiveness of code structure features in code summarization tasks, we assess Transformer models equipped with these code structure features on a structural dependent summarization dataset. Our experimental results reveal several findings that may inspire future study: (1) there is a conflict between the influence of the absolute positional embeddings and relative positional embeddings in Transformer; (2) AST-based code structure features and relative position encoding features show a strong correlation and much contribution overlap for code semantic summarization tasks indeed exists between them; (3) Transformer models still have space for further improvement in explicitly understanding code structure information.","2023-05","2026-04-08 14:55:39","2026-04-08 15:09:48","2026-04-08 14:55:24","89-100","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2643-7171","","","","Relevant","Codes; Source coding; Feature extraction; Semantics; Syntactics; Transformer; Transformers; empirical study; code summarization; Correlation; probing task","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 IEEE/ACM 31st International Conference on Program Comprehension (ICPC)","","","","","","","","","","","","","","",""
"NJXVX6FA","journalArticle","2025","Fang, Hongzhou; Cai, Yuanfang; Tempero, Ewan; Kazman, Rick; Tu, Yu-Cheng; Lefever, Jason; Pisch, Ernst","A Holistic Approach to Design Understanding Through Concept Explanation","IEEE Transactions on Software Engineering","","1939-3520","10.1109/TSE.2024.3522973","https://ieeexplore.ieee.org/document/10820019/","Complex software systems consist of multiple overlapping design structures, such as abstractions, features, crosscutting concerns, or patterns. This is similar to how a human body has multiple interacting subsystems, such as respiratory, digestive, or circulatory. Unlike in the medical domain, software designers do not have an effective way to distinguish, visualize, comprehend, and analyze these interleaving design structures. As a result, developers often struggle through the maze of source code. In this paper, we present an Automated Concept Explanation (ACE) framework that automatically extracts and categorizes major concepts from source code based on the roles that files play in design structures and their topic frequencies. Based on these categorized concepts, ACE recovers four categories of high-level design models using different algorithms and generates a natural language explanation for each. To assess if and how ACE can help developers better understand design structures, we conducted an empirical study where two groups of graduate students were assigned three design comprehension tasks: identifying feature-related files, identifying dependencies among features, and identifying design patterns used, in an open-source project. The results reveal that the students who used ACE can accomplish these tasks much faster and more accurately, and they acknowledged the usefulness of the categorized concepts and structures, multi-type high-level model visualization, and natural language explanations.","2025-02","2026-04-08 14:55:39","2026-04-08 15:07:21","2026-04-08 14:55:35","449-465","","2","51","","","","","","","","","","","","","","","IEEE Xplore","","","","","","Relevant","Codes; Source coding; Feature extraction; Vectors; Natural languages; Software systems; Visualization; Computer science; natural language processing; Prototypes; software comprehension; Software design; Weaving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHIR5SL5","conferencePaper","2019","Thaller, Hannes; Linsbauer, Lukas; Egyed, Alexander","Feature Maps: A Comprehensible Software Representation for Design Pattern Detection","2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER)","","1534-5351","10.1109/SANER.2019.8667978","https://ieeexplore.ieee.org/document/8667978/","Design patterns are elegant and well-tested solutions to recurrent software development problems. They are the result of software developers dealing with problems that frequently occur, solving them in the same or a slightly adapted way. A pattern's semantics provide the intent, motivation, and applicability, describing what it does, why it is needed, and where it is useful. Consequently, design patterns encode a well of information. Developers weave this information into their systems whenever they use design patterns to solve problems. This work presents Feature Maps, a flexible human-and machine-comprehensible software representation based on micro-structures. Our algorithm, the Feature-Role Normalization, presses the high-dimensional, in homogeneous vector space of micro-structures into a feature map. We apply these concepts to the problem of detecting instances of design patterns in source code. We evaluate our methodology on four design patterns, a wide range of balanced and imbalanced labeled training data, and compare classical machine learning (Random Forests) with modern deep learning approaches (Convolutional Neural Networks). Feature maps yield robust classifiers even under challenging settings of strongly imbalanced data distributions without sacrificing human comprehensibility. Results suggest that feature maps are an excellent addition in the software analysis toolbox that can reveal useful information hidden in the source code.","2019-02","2026-04-08 14:55:39","2026-04-08 15:16:57","2026-04-08 14:55:38","207-217","","","","","","Feature Maps","","","","","","","","","","","","IEEE Xplore","","ISSN: 1534-5351","","C:\Users\corey\Zotero\storage\QNY96JB5\Thaller et al. - 2019 - Feature Maps A Comprehensible Software Representation for Design Pattern Detection.pdf","","Relevant","Machine learning; Software; Feature extraction; Semantics; program comprehension; Convolutional neural networks; Correlation; deep learning; convolutional neural networks; design patterns; feature maps; Graphics; machine learning; micro-structures; random forest; reverse engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER)","","","","","","","","","","","","","","",""
