"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6JIASVTD","journalArticle","2022","Nazar, Najam; Aleti, Aldeida; Zheng, Yaokun","Feature-based software design pattern detection","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2021.111179","https://www.sciencedirect.com/science/article/pii/S0164121221002624","Software design patterns are standard solutions to common problems in software design and architecture. Knowing that a particular module implements a design pattern is a shortcut to design comprehension. Manually detecting design patterns is a time consuming and challenging task, therefore, researchers have proposed automatic design pattern detection techniques. However, these techniques show low performance for certain design patterns. In this work, we introduce a design pattern detection approach, DPDF that improves the performance over the state-of-the-art by using code features with machine learning classifiers to automatically train a design pattern detector. DPDF creates a semantic representation of Java source code using the code features and the call graph, and applies the Word2Vec algorithm on the semantic representation to construct the word-space geometric model of the Java source code. DPDF then builds a machine learning classifier trained on a labelled dataset and identifies software design patterns with over 80% Precision and over 79% Recall. Additionally, we have compared DPDF with two existing design pattern detection techniques namely FeatureMaps & MARPLE-DPD. Empirical results demonstrate that our approach outperforms the existing approaches by approximately 35% and 15% respectively in terms of Precision. The run-time performance also supports the practical applicability of our classifier.","2022-03-01","2026-03-20 21:03:55","2026-03-20 21:32:04","","111179","","","185","","Journal of Systems and Software","","","","","","","","","","","","","","","","","","","Machine learning; Maybe Relevant; Code features; Software design patterns; Word-space-model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6PMZA59","journalArticle","2017","Novais, Renato; Santos, José Amancio; Mendonça, Manoel","Experimentally assessing the combination of multiple visualization strategies for software evolution analysis","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2017.03.006","https://www.sciencedirect.com/science/article/pii/S0164121217300572","Software engineers need to comprehend large amounts of data to maintain software. Software Visualization is an area that helps users to analyze software through the use of visual resources. It can be effectively used to understand the large amount of data produced during software evolution. A key challenge in the area is to create strategies to consistently visualize the many software attributes, modules and versions produced during its lifecycle. Most of the current visualization strategies seek to present data as a whole, including all available versions of the software in one visual scene. The area lacks strategies visualizing software in detail through the analysis of the evolution of specific software modules. Both strategies are useful, and should be selected according to the task at hand. This work focuses on combining software evolution visualization strategies, experimentally validating the benefits of the approach. Its goal was to build empirical evidence on the use of the combined multiple strategies for software evolution comprehension. It presents an experimental study that exploits the benefits of combining multiple visual strategies of software evolution analysis. The results show that combined visualization strategies perform better in terms of correctness and analysis time.","2017-06-01","2026-03-20 21:03:55","2026-03-20 21:31:15","","56-71","","","128","","Journal of Systems and Software","","","","","","","","","","","","","","","","","","","Maybe Relevant; Experimental evaluation; Software evolution visualization; Visual strategies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UXUWMDI","journalArticle","2023","Michelon, Gabriela K.; Martinez, Jabier; Sotto-Mayor, Bruno; Arrieta, Aitor; Assunção, Wesley K.G.; Abreu, Rui; Egyed, Alexander","Spectrum-based feature localization for families of systems","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2022.111532","https://www.sciencedirect.com/science/article/pii/S0164121222002084","In large code bases, locating the elements that implement concrete features of a system is challenging. This information is paramount for maintenance and evolution tasks, although not always explicitly available. In this work, motivated by the needs of locating features as a first step for feature-based Software Product Line adoption, we propose a solution for improving the performance of existing approaches. For this, relying on an automatic feature localization approach to locate features in single-systems, we propose approaches to deal with feature localization in the context of families of systems, e.g., variants created through opportunistic reuse such as clone-and-own. Our feature localization approaches are built on top of Spectrum-based feature localization (SBFL) techniques, supporting both dynamic feature localization (i.e., using execution traces as input) and static feature localization (i.e., relying on the structural decomposition of the variants’ implementation). Concretely, we provide (i) a characterization of different settings for dynamic SBFL in single systems, (ii) an approach to improve accuracy of dynamic SBFL for families of systems, and (iii) an approach to use SBFL as a static feature localization technique for families of systems. The proposed approaches are evaluated using the consolidated ArgoUML SPL feature localization benchmark. The results suggest that some settings of SBFL favor precision such as using the ranking metrics Wong2, Ochiai2, or Tarantula with high threshold values, while most of the ranking metrics with low thresholds favor recall. The approach to use information from variants increase the precision of dynamic SBFL while maintaining recall even with few number of variants, namely two or three. Finally, the static SBFL approach performs equally in terms of accuracy to other state-of-the-art approaches, such as Formal Concept Analysis and Interdependent Elements.","2023-01-01","2026-03-20 21:03:55","2026-03-20 22:07:25","","111532","","","195","","Journal of Systems and Software","","","","","","","","","","","","","","","","","","","Maybe Relevant; Clone-and-own; Feature localization; Software product lines; Spectrum-based localization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"728JDASZ","journalArticle","2026","Houichime, Tarik; el Amrani, Younes","Introducing a novel technique for call graph visualization and design pattern detection through runtime data profiling and dynamic warping","Science of Computer Programming","","0167-6423","10.1016/j.scico.2026.103445","https://www.sciencedirect.com/science/article/pii/S0167642326000109","Automated design patterns recovery (ADPR) is a significant academic endeavor focused on identifying and methodically recording design patterns found within software codebases. This process typically involves a thorough examination of source code to find characteristics indicative of specific patterns. Despite sophisticated techniques, persistent challenges remain. These challenges include the complexity of static analysis and variations in pattern appearance across languages. Critically, static methods are fundamentally ill-suited for capturing the temporal, interactive nature of behavioral design patterns. This has led to a field where dynamic methods, while promising, have seen limited exploration regarding their integration with modern, state-of-the-art classifiers, complicating the achievement of comprehensive results. This gap highlights a clear need for novel approaches that can effectively model and analyze runtime behavior directly. In response, this study introduces a dynamic, language-portable two-stage framework. First, we present a novel method for visualizing runtime data as a perceptually-tuned sinusoidal signal. This signal acts as a discovery tool for human analysts, encoding the “local” context of a call (e.g., method’s type) as amplitude and its “global” context (e.g., object interactions) as frequency. Second, we demonstrate how this visualization provides the foundational basis for the symbolic sequencing used in pattern detection. The signal acts as a procedural bridge, it allows an analyst to identify a ’Region of Interest’ from the signal, which then guides the extraction of the corresponding event snippet from the raw log. This snippet is then translated into a compact, symbolic “behavio-stuctural signature”, providing a robust and analyzable representation. Importantly, this work also studies the nature of these sequences, such as their optimal length, and how these properties impact the classification process, thereby validating the foundational basis of the sequential representation.","2026-06-01","2026-03-20 21:03:56","2026-03-20 21:43:10","","103445","","","251","","Science of Computer Programming","","","","","","","","","","","","","","","","","","","Relevant; Call graph visualization; Design pattern detection; Dynamic time warping; Object-oriented programming; Reverse engineering; Software architecture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B74HQTHG","journalArticle","2022","Gao, Xuejian; Jiang, Xue; Wu, Qiong; Wang, Xiao; Lyu, Chen; Lyu, Lei","GT-SimNet: Improving code automatic summarization via multi-modal similarity networks","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2022.111495","https://www.sciencedirect.com/science/article/pii/S0164121222001716","Code summarization aims to generate high-quality functional summaries of code snippets to improve the efficiency of program development and maintenance. It is a pressing challenge for code summarization models to capture more comprehensive code knowledge by integrating the feature correlations between the semantics and syntax of the code. In this paper, we propose a multi-modal similarity network based code summarization method: GT-SimNet. It proposes a novel code semantic modelling method based on a local application programming interface (API) dependency graph (Local-ADG), which exhibits an excellent ability to mask irrelevant semantics outside the current code snippet. For code feature fusion, GT-SimNet uses the SimNet network to calculate the correlation coefficients between Local-ADG and abstract syntax tree (AST) nodes and performs fusion under the influence of the correlation coefficients. Finally, it completes the prediction of the target summary by the generator. We conduct extensive experiments to evaluate the performance of GT-SimNet on two language datasets (Java and Solidity). The results show that GT-SimNet achieved BLEU scores of 38.73% and 41.36% on the two datasets, 1.47%∼2.68% higher than the best existing baseline. Importantly, GT-SimNet reduces the BLEU scores by 7.28% after removing Local-ADG. This indicates that Local-ADG is effective for the semantic representation of the code.","2022-12-01","2026-03-20 21:03:56","2026-03-20 21:34:57","","111495","","","194","","Journal of Systems and Software","","","","","","","","","","","","","","","","","","","Maybe Relevant; AST; Code summarization; GCN; Local API dependency graph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LCKRFF3","journalArticle","2020","Chacón-Luna, Ana Eva; Gutiérrez, Antonio Manuel; Galindo, José A.; Benavides, David","Empirical software product line engineering: A systematic literature review","Information and Software Technology","","0950-5849","10.1016/j.infsof.2020.106389","https://www.sciencedirect.com/science/article/pii/S0950584920301555","Context: The adoption of Software Product Line Engineering (SPLE) is usually only based on its theoretical benefits instead of empirical evidences. In fact, there is no work that synthesizes the empirical studies on SPLE. This makes it difficult for researchers to base their contributions on previous works validated with an empirical strategy. Objective: The objective of this work is to discover and summarize the studies that have used empirical evidences in SPLE limited to those ones with the intervention of humans. This will allow evaluating the quality and to know the scope of these studies over time. Doing so, research opportunities can arise Methods: A systematic literature review was conducted. The scope of the work focuses on those studies in which there is human intervention and were published between 2000 and 2018. We considered peer-reviewed papers from journals and top software engineering conferences. Results: Out of a total of 1880 studies in the initial set, a total of 62 primary studies were selected after applying a series of inclusion and exclusion criteria. We found that, approximately 56% of the studies used the empirical case study strategy while the rest used experimental strategies. Around 86% of the case studies were performed in an industrial environment showing the penetration of SPLE in industry. Conclusion: The interest of empirical studies has been growing since 2008. Around 95.16% of the studies address aspects related to domain engineering while application engineering received less attention. Most of the experiments and case study evaluated showed an acceptable level of quality. The first study found dates from 2005 and since then, the interest in the empirical SPLE has increased.","2020-12-01","2026-03-20 21:03:56","2026-03-20 21:28:50","","106389","","","128","","Information and Software Technology","","","","","","","","","","","","","","","","","","","Maybe Relevant; Software product lines; Case study; Empirical strategies; Experiment; Systematic literature review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EJQ72DS","journalArticle","2022","Ho-Quang, Truong; Nurwidyantoro, Arif; Rukmono, Satrio Adi; Chaudron, Michel R.V.; Fröding, Fabian; Ngoc, Duy Nguyen","Role stereotypes in software designs and their evolution","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2022.111296","https://www.sciencedirect.com/science/article/pii/S0164121222000504","Role stereotypes are abstract characterisations of the responsibilities of the building blocks of software applications. The role a class plays within a software system reflects its design intention. Wirfs-Brock introduced the following six role stereotypes: Information Holder, which knows information, Structurer, which maintains object relationships, Service Provider, which offers computing services, Coordinator, which delegates tasks to others, Controller, which directs other’s actions, and Interfacer, which transforms information. Knowledge about class role stereotypes can help various software development and maintenance tasks, such as program understanding, program summarisation, and quality assurance. This paper presents an automated machine learning-based approach for classifying the role-stereotype of classes in Java projects. We analyse this approach’s performance against a manually labelled ground truth for three open source projects that contain 1,500+ Java classes altogether. The contributions of this paper include: (i) a machine learning (ML) approach to address the problem of automatically inferring role-stereotypes of classes in Object-Oriented Programming Languages, (ii) the manually labelled ground truth, (iii) an evaluation of the performance of the classifier, (iv) an evaluation of the generalisability of the approach, and (v) an illustration of new uses of role-stereotypes. The evaluation shows that the Random Forest algorithm yields the best classification performance. We find, however, that the performance of the ML-classifier varies a lot for different role stereotypes. In particular, its performance degrades when classifying rarer stereotypes. Among the 23 features that we study, features related to the classes’ collaboration characteristics and complexity stand out as the best discriminants of role stereotypes.","2022-07-01","2026-03-20 21:03:56","2026-03-20 22:05:02","","111296","","","189","","Journal of Systems and Software","","","","","","","","","","","","","","","","","","","Software engineering; Maybe Relevant; Class role-stereotypes; Design metrics; Machine learning classification; Program analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82V44TIH","journalArticle","2025","Mondal, Amit Kumar; Hossain, Mainul; Roy, Chanchal K.; Roy, Banani; Schneider, Kevin A.","FSECAM: A contextual thematic approach for linking feature to multi-level software architectural components","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2024.112245","https://www.sciencedirect.com/science/article/pii/S0164121224002899","Linking software features to code components is commonly performed during software development and maintenance, including to implement a feature, document code, design test cases, trace requirements, track changes, and support inspection of safety–critical software by government and other third parties. However, manually mapping features to code is error-prone and time consuming, even for developers familiar with a system. To overcome these challenges several studies proposed automated techniques to reduce human intervention when linking features to code components. Nonetheless, three challenges remain: (i) accuracy, (ii) cost, and (iii) explainability. Linking of irrelevant code snippets causes an extra burden of analyses. If the approach lacks explainability, then a tool is less useful for many crucial systems such as safety–critical software. Moreover, heavyweight techniques such as those that require generating execution traces of every scenario or require training deep-learning models are costly and limit small companies from integrating them into their development process. We propose a contextual thematic approach that extracts the most relevant theme properties of the feature/requirement to address the aforementioned challenges. Our experiments with two proprietary projects reveal significant enhancement of performance (precision and F1 scores are more than 50% in ideal cases) in linking features to three abstractions of code components, i.e., modules, classes, and methods. Our approach is also capable of linking commits to issues in a promising way. Contextual theme extraction enhances the subjective explainability which has not yet been solved with existing approaches. Moreover, we extract several critical characteristics of the feature documents and code structures that are important to consider in both manual and automated techniques. Finally, we present the FSECAM tool for linking features to code components, which can be immediately deployed within the development process and used without much effort and cost in linking code components and commits. Editor’s note: Open Science material was validated by the Journal of Systems and Software Open Science Board.","2025-01-01","2026-03-20 21:03:56","2026-03-20 21:33:11","","112245","","","219","","Journal of Systems and Software","","","","","","","","","","","","","","","","","","","Relevant; Architectural abstraction; Code mapping; Semantic theme; Software feature; Traceability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ZGPEM2E","journalArticle","2018","Merino, L.; Ghafari, M.; Anslow, C.; Nierstrasz, O.","A systematic literature review of software visualization evaluation","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2018.06.027","https://www.sciencedirect.com/science/article/pii/S0164121218301237","Context:Software visualizations can help developers to analyze multiple aspects of complex software systems, but their effectiveness is often uncertain due to the lack of evaluation guidelines. Objective: We identify common problems in the evaluation of software visualizations with the goal of formulating guidelines to improve future evaluations. Method:We review the complete literature body of 387 full papers published in the SOFTVIS/VISSOFT conferences, and study 181 of those from which we could extract evaluation strategies, data collection methods, and other aspects of the evaluation. Results:Of the proposed software visualization approaches, 62% lack a strong evaluation. We argue that an effective software visualization should not only boost time and correctness but also recollection, usability, engagement, and other emotions. Conclusion:We call on researchers proposing new software visualizations to provide evidence of their effectiveness by conducting thorough (i) case studies for approaches that must be studied in situ, and when variables can be controlled, (ii) experiments with randomly selected participants of the target audience and real-world open source software systems to promote reproducibility and replicability. We present guidelines to increase the evidence of the effectiveness of software visualization approaches, thus improving their adoption rate.","2018-10-01","2026-03-20 21:03:56","2026-03-20 21:12:59","","165-180","","","144","","Journal of Systems and Software","","","","","","","","","","","","","","","","","","","Maybe Relevant; Literature review; Evaluation; Software visualisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IAMP4SNF","journalArticle","2020","Pérez, Francisca; Echeverría, Jorge; Lapeña, Raúl; Cetina, Carlos","Comparing manual and automated feature location in conceptual models: A Controlled experiment","Information and Software Technology","","0950-5849","10.1016/j.infsof.2020.106337","https://www.sciencedirect.com/science/article/pii/S095058492030104X","Context Maintenance activities cannot be completed without locating the set of software artifacts that realize a particular feature of a software system. Manual Feature Location (FL) is widely used in industry, but it becomes challenging (time-consuming and error prone) in large software repositories. To reduce manual efforts, automated FL techniques have been proposed. Research efforts in FL tend to make comparisons between automated FL techniques, ignoring manual FL techniques. Moreover, existing research puts the focus on code, neglecting other artifacts such as models. Objective This paper aims to compare manual FL against automated FL in models to answer important questions about performance, productivity, and satisfaction of both treatments. Method We run an experiment for comparing manual and automated FL on a set of 18 subjects (5 experts and 13 non-experts) in the domain of our industrial partner, BSH, manufacturer of induction hobs for more than 15 years. We measure performance (recall, precision, and F-measure), productivity (ratio between F-measure and spent time), and satisfaction (perceived ease of use, perceived usefulness, and intention to use) of both treatments, and perform statistical tests to assess whether the obtained differences are significant. Results Regarding performance, manual FL significantly outperforms automated FL in precision and F-measure (up to 27.79% and 19.05%, respectively), whereas automated FL significantly outperforms manual FL in recall (up to 32.18%). Regarding productivity, manual FL obtains 3.43%/min, which improves automated FL significantly. Finally, there are no significant differences in satisfaction for both treatments. Conclusions The findings of our work can be leveraged to advance research to improve the results of manual and automated FL techniques. For instance, automated FL in industry faces issues such as low discrimination capacity. In addition, the obtained satisfaction results have implications for the usage and possible combination of manual, automated, and guided FL techniques.","2020-09-01","2026-03-20 21:06:29","2026-03-20 21:21:52","","106337","","","125","","Information and Software Technology","","","","","","","","","","","","","","","","","","","Relevant; Conceptual models; Controlled experiment; Feature location; Model-Driven engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
